      Step     Time          Energy         fmax
BFGS:    0 09:23:30      -37.550201        5.4810
BFGS:    1 09:27:05      -38.180331        5.0873
BFGS:    2 09:30:41      -38.764946        4.7134
BFGS:    3 09:34:13      -39.305448        4.3570
BFGS:    4 09:37:40      -39.805129        4.0184
BFGS:    5 09:41:15      -40.265413        3.6974
BFGS:    6 09:45:04      -40.688059        3.3907
BFGS:    7 09:49:18      -41.075599        3.0993
BFGS:    8 09:55:00      -41.429443        2.8215
BFGS:    9 09:59:08      -41.751558        2.5580
BFGS:   10 10:04:32      -42.044287        2.3086
BFGS:   11 10:09:02      -42.307922        2.0678
BFGS:   12 10:14:08      -42.545590        1.8452
BFGS:   13 10:19:47      -42.757105        1.6291
BFGS:   14 10:25:42      -42.944017        1.4237
BFGS:   15 10:31:20      -43.107450        1.2273
BFGS:   16 10:37:27      -43.251484        1.0408
BFGS:   17 10:42:09      -43.376234        0.8614
BFGS:   18 10:47:33      -43.475284        0.6928
BFGS:   19 10:53:28      -43.554762        0.5329
BFGS:   20 10:58:50      -43.615524        0.3802
BFGS:   21 11:04:07      -43.659187        0.2389
BFGS:   22 11:09:45      -43.686260        0.1092
BFGS:   23 11:14:50      -43.695000        0.0578
BFGS:   24 11:19:59      -43.695747        0.0540
BFGS:   25 11:25:47      -43.698052        0.0689
BFGS:   26 11:31:20      -43.700600        0.0840
BFGS:   27 11:37:14      -43.702088        0.0812
BFGS:   28 11:42:18      -43.701547        0.0609
BFGS:   29 11:48:39      -43.700730        0.0423
BFGS:   30 11:53:53      -43.700271        0.0399
BFGS:   31 11:59:02      -43.699550        0.0448
BFGS:   32 12:04:14      -43.699078        0.0505
BFGS:   33 12:09:54      -43.698632        0.0716
BFGS:   34 12:16:20      -43.699399        0.0846
