      Step     Time          Energy         fmax
BFGS:    0 17:00:30      -66.970893        5.1883
BFGS:    1 17:02:15      -67.584768        4.7665
BFGS:    2 17:03:50      -68.148765        4.3654
BFGS:    3 17:05:42      -68.664212        3.9823
BFGS:    4 17:07:22      -69.134930        3.6175
BFGS:    5 17:09:05      -69.562676        3.2707
BFGS:    6 17:11:05      -69.948505        2.9398
BFGS:    7 17:12:45      -70.295969        2.6262
BFGS:    8 17:14:11      -70.606308        2.3274
BFGS:    9 17:15:39      -70.881263        2.0424
BFGS:   10 17:17:11      -71.123559        1.7721
BFGS:   11 17:18:49      -71.333098        1.5137
BFGS:   12 17:20:25      -71.513525        1.2683
BFGS:   13 17:21:59      -71.664402        1.0336
BFGS:   14 17:23:32      -71.788926        0.8085
BFGS:   15 17:25:06      -71.886026        0.5939
BFGS:   16 17:26:46      -71.957130        0.3869
BFGS:   17 17:28:46      -72.010391        0.1900
BFGS:   18 17:30:43      -72.032047        0.0082
